,id,gene_i,gene_j,type,coef.est,pval
1297,1297,203,351,interaction,12.51966204153,0.00466150039983125
1165,1165,150,532,interaction,-3.24384632201957,0.00557888348216019
1471,1471,282,407,interaction,-7.46635198021414,0.00605896784703477
1285,1285,198,309,interaction,-40.8855632304273,0.00940076329907981
1499,1499,300,491,interaction,-37.4058047420503,0.011534498343957
1241,1241,177,472,interaction,172.04198722781,0.011788955855459
1191,1191,161,401,interaction,9.49434965593233,0.0120174954396731
901,901,75,241,interaction,-13.1697121823652,0.0125562993303125
430,430,466,NA,main,3.80429074527419,0.0135903759230747
948,948,90,350,interaction,21.7406695798813,0.0136325627534393
1283,1283,196,525,interaction,12.5004642585534,0.0142392551300104
281,281,303,NA,main,11.293599314283,0.0148187032296152
1470,1470,282,321,interaction,-7.63869793483978,0.0160431611329645
1254,1254,183,306,interaction,-41.846165858211,0.0182907830116536
907,907,76,135,interaction,12.6179677638063,0.01869031303367
1590,1590,349,542,interaction,7.00083963132274,0.018797517724062
912,912,78,487,interaction,63.7771185436975,0.0190743749274482
52,52,53,NA,main,15.4121922227667,0.0193406048590985
867,867,66,163,interaction,-22.2315448414162,0.0193883636941449
706,706,26,209,interaction,-11.94493978596,0.0209482329025207
1147,1147,147,191,interaction,-11.8519786801313,0.0211415066003971
262,262,282,NA,main,6.22681268008299,0.0212963243671848
503,503,542,NA,main,-6.74533047724172,0.0224744495458026
1660,1660,397,474,interaction,25.7244557883509,0.0226020384849103
629,629,4,251,interaction,17.8199849383986,0.0234533822115997
1551,1551,328,607,interaction,-44.4587640485036,0.0240885383957306
1212,1212,168,186,interaction,13.6147427991117,0.0244351012388436
1125,1125,139,620,interaction,-15.5841879595647,0.0246038166663041
319,319,345,NA,main,-13.8242686228861,0.0252765805520099
1119,1119,137,613,interaction,-37.5480880387988,0.0252823177143829
1075,1075,129,485,interaction,20.1994568824704,0.0258370365376893
1508,1508,303,372,interaction,-48.9479587531147,0.0259000546093065
695,695,20,632,interaction,49.8430382231306,0.0261801919084442
1215,1215,169,630,interaction,-157.918268351973,0.026544716149744
496,496,535,NA,main,-10.6672096522258,0.026683530621054
711,711,26,595,interaction,22.5901668604951,0.0268676129063573
506,506,545,NA,main,-13.995965875711,0.0270549284473582
1035,1035,118,387,interaction,-12.0906657859098,0.0272748102115737
1083,1083,130,180,interaction,-17.669315408748,0.0274284393121638
1112,1112,136,392,interaction,9.9063060974696,0.0275674249827053
731,731,31,483,interaction,-10.0421880765288,0.0279875982100806
947,947,89,564,interaction,36.7889475963216,0.02840730822325
1200,1200,165,474,interaction,-31.7292238437355,0.0284093370694006
913,913,79,123,interaction,-21.2606779335078,0.0286480808796482
616,616,662,NA,main,5.36689740282826,0.0288759347952943
1473,1473,285,594,interaction,17.9884587009568,0.0291483016493469
574,574,618,NA,main,-18.4065124160169,0.0292601349170608
172,172,181,NA,main,-5.74534070438529,0.0292849624177663
284,284,307,NA,main,17.1299811557077,0.0293091446683683
135,135,144,NA,main,5.4582228224207,0.0296121830858197
1197,1197,164,538,interaction,-28.5761487707298,0.0299891638416491
997,997,106,159,interaction,-9.99401173484591,0.0311312394016522
665,665,13,154,interaction,-7.37413251652277,0.0319315192147973
200,200,211,NA,main,-7.60689888218491,0.0320228963836179
265,265,287,NA,main,4.10234538731316,0.0323358067324498
1532,1532,320,502,interaction,3.16284772403638,0.0325968094619045
405,405,437,NA,main,7.85452039563137,0.0326055256396178
526,526,567,NA,main,6.58657691853413,0.0327442650104888
1511,1511,304,396,interaction,9.54151134423929,0.033805297130471
325,325,351,NA,main,-2.31696980874437,0.0340007573512131
184,184,194,NA,main,-5.91330644431866,0.0348118089592057
1345,1345,219,540,interaction,-11.1260417957274,0.0354163739276666
784,784,46,104,interaction,24.6207728768272,0.035486560989999
215,215,229,NA,main,15.2977613986091,0.0357414534242464
618,618,1,313,interaction,-28.6299008215664,0.0366262453723515
696,696,21,540,interaction,19.6640198644587,0.0367270591349589
1341,1341,219,255,interaction,-11.9617378821677,0.0374107107783918
1393,1393,240,574,interaction,-20.6262911999822,0.0374210609355797
